team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Algeria;534398;1;Melvin Mastil;Portiere;19/02/2000;26;FC Stade Nyonnais;1,94m;destro;1;-;27/03/2026;250 mila €;https://www.transfermarkt.com/melvin-mastil/profil/spieler/534398
Algeria;80293;2;Aïssa Mandi;Difensore centrale;22/10/1991;34;LOSC Lilla;1,84m;destro;117;7;05/03/2014;1,00 mln €;https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293
Algeria;949929;3;Achref Abada;Difensore centrale;15/06/1999;26;USM Alger;1,85m;destro;9;1;09/06/2025;1,00 mln €;https://www.transfermarkt.com/achref-abada/profil/spieler/949929
Algeria;592396;4;Mohamed Amine Tougai;Difensore centrale;22/01/2000;26;Esperance Tunis;1,86m;destro;29;2;04/12/2021;1,30 mln €;https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396
Algeria;625142;5;Zineddine Belaid;Difensore centrale;20/03/1999;27;JS Kabylie;1,86m;destro;16;1;13/01/2023;1,80 mln €;https://www.transfermarkt.com/zineddine-belaid/profil/spieler/625142
Algeria;416660;6;Ramiz Zerrouki;Mediano;26/05/1998;28;FC Twente Enschede;1,83m;destro;52;3;25/03/2021;6,50 mln €;https://www.transfermarkt.com/ramiz-zerrouki/profil/spieler/416660
Algeria;171424;7;Riyad Mahrez;Ala destra;21/02/1991;35;Al-Ahli SFC;1,79m;sinistro;114;38;31/05/2014;5,00 mln €;https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424
Algeria;395693;8;Houssem Aouar;Trequartista;30/06/1998;27;Al-Ittihad Club;1,75m;destro;20;6;18/06/2023;8,00 mln €;https://www.transfermarkt.com/houssem-aouar/profil/spieler/395693
Algeria;418659;9;Amine Gouiri;Punta centrale;16/02/2000;26;Olympique Marsiglia;1,80m;destro;22;8;12/10/2023;28,00 mln €;https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659
Algeria;855015;10;Farès Chaïbi;Trequartista;28/11/2002;23;Eintracht Francoforte;1,83m;destro;29;3;23/03/2023;15,00 mln €;https://www.transfermarkt.com/fares-chaibi/profil/spieler/855015
Algeria;917911;11;Anis Hadj Moussa;Ala destra;11/02/2002;24;Feyenoord Rotterdam;1,76m;sinistro;14;1;22/03/2024;23,00 mln €;https://www.transfermarkt.com/anis-hadj-moussa/profil/spieler/917911
Algeria;840254;12;Nadhir Benbouali;Punta centrale;17/04/2000;26;ETO FC;1,90m;sinistro;3;1;27/03/2026;1,20 mln €;https://www.transfermarkt.com/nadhir-benbouali/profil/spieler/840254
Algeria;750903;13;Jaouen Hadjam;Terzino sinistro;26/03/2003;23;BSC Young Boys;1,85m;sinistro;17;3;27/03/2023;7,00 mln €;https://www.transfermarkt.com/jaouen-hadjam/profil/spieler/750903
Algeria;560593;14;Hicham Boudaoui;Centrocampista;23/09/1999;26;OGC Nizza;1,75m;destro;32;-;27/12/2018;12,00 mln €;https://www.transfermarkt.com/hicham-boudaoui/profil/spieler/560593
Algeria;578391;15;Rayan Aït-Nouri;Terzino sinistro;06/06/2001;25;Manchester City;1,80m;sinistro;28;-;23/03/2023;40,00 mln €;https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391
Algeria;437982;16;Oussama Benbout;Portiere;11/10/1994;31;USM Alger;1,88m;;2;-;05/06/2025;850 mila €;https://www.transfermarkt.com/oussama-benbout/profil/spieler/437982
Algeria;864306;17;Rafik Belghali;Terzino destro;07/06/2002;23;Hellas Verona;1,80m;destro;12;1;09/10/2025;7,00 mln €;https://www.transfermarkt.com/rafik-belghali/profil/spieler/864306
Algeria;746910;18;Mohamed Amoura;Punta centrale;09/05/2000;26;VfL Wolfsburg;1,70m;destro;45;19;08/10/2021;20,00 mln €;https://www.transfermarkt.com/mohamed-amoura/profil/spieler/746910
Algeria;245537;19;Nabil Bentaleb;Mediano;24/11/1994;31;LOSC Lilla;1,89m;sinistro;58;6;05/03/2014;4,50 mln €;https://www.transfermarkt.com/nabil-bentaleb/profil/spieler/245537
Algeria;748443;20;Adil Boulbina;Ala sinistra;02/05/2003;23;Al-Duhail SC;1‚83m;destro;10;5;09/06/2025;3,00 mln €;https://www.transfermarkt.com/adil-boulbina/profil/spieler/748443
Algeria;284732;21;Ramy Bensebaini;Difensore centrale;16/04/1995;31;Borussia Dortmund;1,87m;sinistro;81;7;07/01/2017;7,00 mln €;https://www.transfermarkt.com/ramy-bensebaini/profil/spieler/284732
Algeria;905011;22;Ibrahim Maza;Trequartista;24/11/2005;20;Bayer 04 Leverkusen;1,80m;destro;16;2;10/10/2024;45,00 mln €;https://www.transfermarkt.com/ibrahim-maza/profil/spieler/905011
Algeria;283489;23;Luca Zidane;Portiere;13/05/1998;28;Granada CF;1,83m;destro;7;-;14/10/2025;1,00 mln €;https://www.transfermarkt.com/luca-zidane/profil/spieler/283489
Algeria;748445;24;Yassine Titraoui;Centrocampista;26/07/2003;22;R Charleroi SC;1,80m;;5;-;01/12/2021;7,00 mln €;https://www.transfermarkt.com/yassine-titraoui/profil/spieler/748445
Algeria;888738;25;Farès Ghedjemis;Ala destra;06/09/2002;23;Frosinone Calcio;1,83m;sinistro;1;1;27/03/2026;7,50 mln €;https://www.transfermarkt.com/fares-ghedjemis/profil/spieler/888738
Algeria;668167;26;Samir Chergui;Difensore centrale;06/02/1999;27;Paris FC;1,85m;destro;4;-;14/10/2025;3,00 mln €;https://www.transfermarkt.com/samir-chergui/profil/spieler/668167
Arabia Saudita;886183;1;Nawaf Al-Aqidi;Portiere;10/05/2000;26;Al-Nassr FC;1,86m;destro;22;-;06/01/2023;650 mila €;https://www.transfermarkt.com/nawaf-al-aqidi/profil/spieler/886183
Arabia Saudita;672391;2;Ali Majrashi;Terzino destro;01/10/1999;26;Al-Ahli SFC;1,69m;destro;21;-;01/12/2021;1,40 mln €;https://www.transfermarkt.com/ali-majrashi/profil/spieler/672391
Arabia Saudita;264909;3;Ali Lajami;Difensore centrale;24/04/1996;30;Al-Hilal SFC;1,77m;destro;21;1;19/11/2019;750 mila €;https://www.transfermarkt.com/ali-lajami/profil/spieler/264909
Arabia Saudita;509894;4;Abdulelah Al-Amri;Difensore centrale;15/01/1997;29;Al-Nassr FC;1,85m;destro;40;1;25/03/2021;1,40 mln €;https://www.transfermarkt.com/abdulelah-al-amri/profil/spieler/509894
Arabia Saudita;509897;5;Hassan Tambakti;Difensore centrale;09/02/1999;27;Al-Hilal SFC;1,83m;destro;49;-;10/08/2019;1,80 mln €;https://www.transfermarkt.com/hassan-tambakti/profil/spieler/509897
Arabia Saudita;509911;6;Nasser Al-Dawsari;Centrocampista;19/12/1998;27;Al-Hilal SFC;1,78m;sinistro;44;-;25/03/2021;900 mila €;https://www.transfermarkt.com/nasser-al-dawsari/profil/spieler/509911
Arabia Saudita;901181;7;Musab Al-Juwayr;Centrocampista;20/06/2003;22;Al-Qadsiah FC;1,75m;destro;35;6;06/01/2023;6,00 mln €;https://www.transfermarkt.com/musab-al-juwayr/profil/spieler/901181
Arabia Saudita;735815;8;Ayman Yahya;Terzino sinistro;14/05/2001;25;Al-Nassr FC;1,73m;destro;23;-;14/11/2020;1,20 mln €;https://www.transfermarkt.com/ayman-yahya/profil/spieler/735815
Arabia Saudita;631922;9;Firas Al-Buraikan;Punta centrale;14/05/2000;26;Al-Ahli SFC;1,85m;sinistro;70;15;10/10/2019;3,50 mln €;https://www.transfermarkt.com/firas-al-buraikan/profil/spieler/631922
Arabia Saudita;195332;10;Salem Al-Dawsari;Ala sinistra;19/08/1991;34;Al-Hilal SFC;1,73m;destro;106;26;29/02/2012;1,20 mln €;https://www.transfermarkt.com/salem-al-dawsari/profil/spieler/195332
Arabia Saudita;242267;11;Saleh Al-Shehri;Punta centrale;01/11/1993;32;Al-Ittihad Club;1,84m;destro;54;16;14/11/2020;500 mila €;https://www.transfermarkt.com/saleh-al-shehri/profil/spieler/242267
Arabia Saudita;631927;12;Saud Abdulhamid;Terzino destro;18/07/1999;26;RC Lens;1,72m;destro;51;1;05/09/2019;9,00 mln €;https://www.transfermarkt.com/saud-abdulhamid/profil/spieler/631927
Arabia Saudita;821377;13;Nawaf Boushal;Terzino destro;16/09/1999;26;Al-Nassr FC;1,73m;destro;25;-;04/12/2021;1,40 mln €;https://www.transfermarkt.com/nawaf-boushal/profil/spieler/821377
Arabia Saudita;260859;14;Hassan Kadesh;Terzino sinistro;26/09/1992;33;Al-Ittihad Club;1,79m;sinistro;19;2;16/11/2023;275 mila €;https://www.transfermarkt.com/hassan-kadesh/profil/spieler/260859
Arabia Saudita;437903;15;Abdullah Al-Khaibari;Mediano;16/08/1996;29;Al-Nassr FC;1,75m;destro;37;-;26/02/2018;750 mila €;https://www.transfermarkt.com/abdullah-al-khaibari/profil/spieler/437903
Arabia Saudita;901079;16;Ziyad Al-Johani;Mediano;11/11/2001;24;Al-Ahli SFC;1,80m;sinistro;12;-;25/03/2025;800 mila €;https://www.transfermarkt.com/ziyad-al-johani/profil/spieler/901079
Arabia Saudita;631923;17;Khalid Al-Ghannam;Ala sinistra;07/11/2000;25;Al-Ettifaq FC;1,71m;destro;6;-;01/02/2022;2,50 mln €;https://www.transfermarkt.com/khalid-al-ghannam/profil/spieler/631923
Arabia Saudita;443937;18;Alaa Hejji;Centrocampista;03/12/1995;30;NEOM SC;1,78m;destro;2;-;31/05/2026;300 mila €;https://www.transfermarkt.com/alaa-hejji/profil/spieler/443937
Arabia Saudita;68626;19;Abdullah Al-Hamdan;Punta centrale;12/09/1999;26;Al-Nassr FC;1,86m;destro;48;13;05/09/2019;350 mila €;https://www.transfermarkt.com/abdullah-al-hamdan/profil/spieler/68626
Arabia Saudita;210349;20;Sultan Mandash;Ala destra;17/10/1994;31;Al-Hilal SFC;1,72m;sinistro;6;2;21/03/2019;350 mila €;https://www.transfermarkt.com/sultan-mandash/profil/spieler/210349
Arabia Saudita;262845;21;Mohammed Al-Owais;Portiere;10/10/1991;34;Al-Ula FC;1,85m;sinistro;60;-;28/12/2013;275 mila €;https://www.transfermarkt.com/mohammed-al-owais/profil/spieler/262845
Arabia Saudita;177956;22;Ahmed Al-Kassar;Portiere;08/05/1991;35;Al-Qadsiah FC;1,78m;destro;9;-;16/01/2024;175 mila €;https://www.transfermarkt.com/ahmed-al-kassar/profil/spieler/177956
Arabia Saudita;308120;23;Mohamed Kanno;Centrocampista;22/09/1994;31;Al-Hilal SFC;1,91m;destro;74;8;25/12/2017;800 mila €;https://www.transfermarkt.com/mohamed-kanno/profil/spieler/308120
Arabia Saudita;869509;24;Moteb Al-Harbi;Terzino sinistro;19/02/2000;26;Al-Hilal SFC;1,77m;sinistro;12;-;01/12/2021;1,40 mln €;https://www.transfermarkt.com/moteb-al-harbi/profil/spieler/869509
Arabia Saudita;901334;25;Jehad Thakri;Difensore centrale;21/07/2001;24;Al-Qadsiah FC;1,84m;destro;7;-;25/03/2025;1,20 mln €;https://www.transfermarkt.com/jehad-thakri/profil/spieler/901334
Arabia Saudita;1181852;26;Mohammed Abu Al-Shamat;Terzino destro;11/08/2002;23;Al-Qadsiah FC;1,70m;destro;6;-;12/01/2023;1,80 mln €;https://www.transfermarkt.com/mohammed-abu-al-shamat/profil/spieler/1181852
Argentina;242359;1;Juan Musso;Portiere;06/05/1994;32;Atlético de Madrid;1,93m;destro;3;-;26/03/2019;3,00 mln €;https://www.transfermarkt.com/juan-musso/profil/spieler/242359
Argentina, #2 miss;;;;;;;;;;;;;;
Argentina;131225;3;Nicolás Tagliafico;Terzino sinistro;31/08/1992;33;Olympique Lione;1,72m;sinistro;75;1;09/06/2017;4,00 mln €;https://www.transfermarkt.com/nicolas-tagliafico/profil/spieler/131225
Argentina;402733;4;Gonzalo Montiel;Terzino destro;01/01/1997;29;CA River Plate;1,75m;destro;38;2;22/03/2019;4,50 mln €;https://www.transfermarkt.com/gonzalo-montiel/profil/spieler/402733
Argentina;166237;5;Leandro Paredes;Mediano;29/06/1994;31;CA Boca Juniors;1,82m;destro;77;5;13/06/2017;5,00 mln €;https://www.transfermarkt.com/leandro-paredes/profil/spieler/166237
Argentina;480762;6;Lisandro Martínez;Difensore centrale;18/01/1998;28;Manchester United;1,75m;sinistro;26;1;22/03/2019;40,00 mln €;https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762
Argentina;255901;7;Rodrigo De Paul;Centrocampista;24/05/1994;32;Inter Miami CF;1,78m;destro;85;2;11/10/2018;14,00 mln €;https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901
Argentina;849410;8;Valentín Barco;Centrocampista;23/07/2004;21;RC Strasburgo;1,72m;sinistro;2;1;23/03/2024;40,00 mln €;https://www.transfermarkt.com/valentin-barco/profil/spieler/849410
Argentina;576024;9;Julián Álvarez;Punta centrale;31/01/2000;26;Atlético de Madrid;1,70m;destro;51;14;04/06/2021;100,00 mln €;https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024
Argentina;28003;10;Lionel Messi;Ala destra;24/06/1987;38;Inter Miami CF;1,70m;sinistro;198;116;17/08/2005;15,00 mln €;https://www.transfermarkt.com/lionel-messi/profil/spieler/28003
Argentina;348795;11;Giovani Lo Celso;Trequartista;09/04/1996;30;Real Betis Balompié;1,77m;sinistro;65;4;11/11/2017;8,00 mln €;https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795
Argentina;229604;12;Gerónimo Rulli;Portiere;20/05/1992;34;Olympique Marsiglia;1,89m;destro;7;-;08/09/2018;6,00 mln €;https://www.transfermarkt.com/geronimo-rulli/profil/spieler/229604
Argentina;355915;13;Cristian Romero;Difensore centrale;27/04/1998;28;Tottenham Hotspur;1,85m;destro;49;3;04/06/2021;45,00 mln €;https://www.transfermarkt.com/cristian-romero/profil/spieler/355915
Argentina;401578;14;Exequiel Palacios;Centrocampista;05/10/1998;27;Bayer 04 Leverkusen;1,77m;destro;38;-;08/09/2018;25,00 mln €;https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578
Argentina;486031;15;Nico González;Ala sinistra;06/04/1998;28;Atlético de Madrid;1,80m;sinistro;50;6;13/10/2019;22,00 mln €;https://www.transfermarkt.com/nico-gonzalez/profil/spieler/486031
Argentina;576028;16;Thiago Almada;Ala sinistra;26/04/2001;25;Atlético de Madrid;1,71m;destro;14;4;24/09/2022;15,00 mln €;https://www.transfermarkt.com/thiago-almada/profil/spieler/576028
Argentina;742201;17;Giuliano Simeone;Ala destra;18/12/2002;23;Atlético de Madrid;1,74m;destro;11;1;20/11/2024;40,00 mln €;https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201
Argentina;948294;18;Nico Paz;Trequartista;08/09/2004;21;Como 1907;1,85m;sinistro;8;1;16/10/2024;80,00 mln €;https://www.transfermarkt.com/nico-paz/profil/spieler/948294
Argentina;54781;19;Nicolás Otamendi;Difensore centrale;12/02/1988;38;Benfica Lisbona;1,82m;destro;130;8;20/05/2009;1,00 mln €;https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781
Argentina;534033;20;Alexis Mac Allister;Centrocampista;24/12/1998;27;FC Liverpool;1,76m;destro;44;6;06/09/2019;70,00 mln €;https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033
Argentina;844797;21;José Manuel López;Punta centrale;06/12/2000;25;SE Palmeiras;1,90m;sinistro;3;-;15/10/2025;25,00 mln €;https://www.transfermarkt.com/jose-manuel-lopez/profil/spieler/844797
Argentina;406625;22;Lautaro Martínez;Punta centrale;22/08/1997;28;Inter;1,75m;destro;75;36;27/03/2018;85,00 mln €;https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625
Argentina;111873;23;Emiliano Martínez;Portiere;02/09/1992;33;Aston Villa;1,95m;destro;59;-;04/06/2021;12,00 mln €;https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873
Argentina;648195;24;Enzo Fernández;Centrocampista;17/01/2001;25;Chelsea FC;1,78m;destro;40;6;24/09/2022;90,00 mln €;https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195
Argentina;474800;25;Facundo Medina;Difensore centrale;28/05/1999;27;Olympique Marsiglia;1,84m;sinistro;7;-;13/10/2020;18,00 mln €;https://www.transfermarkt.com/facundo-medina/profil/spieler/474800
Argentina;424042;26;Nahuel Molina;Terzino destro;06/04/1998;28;Atlético de Madrid;1,79m;destro;58;1;04/06/2021;15,00 mln €;https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042
Australia;128969;1;Mathew Ryan;Portiere;08/04/1992;34;Levante UD;1,84m;destro;104;-;05/12/2012;1,80 mln €;https://www.transfermarkt.com/mathew-ryan/profil/spieler/128969
Australia;187353;2;Milos Degenek;Difensore centrale;28/04/1994;32;APOEL Nicosia;1,87m;destro;56;1;27/05/2016;450 mila €;https://www.transfermarkt.com/milos-degenek/profil/spieler/187353
Australia;867137;3;Alessandro Circati;Difensore centrale;10/10/2003;22;Parma Calcio;1,91m;destro;12;1;17/10/2023;12,00 mln €;https://www.transfermarkt.com/alessandro-circati/profil/spieler/867137
Australia;545810;4;Jacob Italiano;Terzino destro;30/07/2001;24;Grazer AK 1902;1,77m;entrambi;4;-;11/10/2025;600 mila €;https://www.transfermarkt.com/jacob-italiano/profil/spieler/545810
Australia;855731;5;Jordan Bos;Terzino sinistro;29/10/2002;23;Feyenoord Rotterdam;1,80m;sinistro;26;4;28/03/2023;12,00 mln €;https://www.transfermarkt.com/jordan-bos/profil/spieler/855731
Australia;185175;6;Jason Geria;Terzino destro;10/05/1993;33;Albirex Niigata;1,81m;destro;13;-;04/06/2016;350 mila €;https://www.transfermarkt.com/jason-geria/profil/spieler/185175
Australia;126214;7;Mathew Leckie;Ala sinistra;04/02/1991;35;Melbourne City FC;1,81m;destro;80;14;14/11/2012;300 mila €;https://www.transfermarkt.com/mathew-leckie/profil/spieler/126214
Australia;522223;8;Connor Metcalfe;Centrocampista;05/11/1999;26;FC St. Pauli;1,83m;sinistro;35;1;07/06/2021;1,50 mln €;https://www.transfermarkt.com/connor-metcalfe/profil/spieler/522223
Australia;742770;9;Mohamed Touré;Punta centrale;26/03/2004;22;Norwich City;1,86m;destro;9;2;13/10/2023;8,00 mln €;https://www.transfermarkt.com/mohamed-toure/profil/spieler/742770
Australia;265625;10;Ajdin Hrustic;Centrocampista;05/07/1996;29;Heracles Almelo;1,80m;sinistro;37;4;13/06/2017;600 mila €;https://www.transfermarkt.com/ajdin-hrustic/profil/spieler/265625
Australia;255729;11;Awer Mabil;Ala sinistra;15/09/1995;30;CD Castellón;1,78m;destro;38;10;15/10/2018;500 mila €;https://www.transfermarkt.com/awer-mabil/profil/spieler/255729
Australia;181921;12;Paul Izzo;Portiere;06/01/1995;31;Randers FC;1,84m;destro;4;-;05/09/2025;500 mila €;https://www.transfermarkt.com/paul-izzo/profil/spieler/181921
Australia;385918;13;Aiden O'Neill;Mediano;04/07/1998;27;New York City FC;1,80m;destro;30;-;24/03/2023;3,00 mln €;https://www.transfermarkt.com/aiden-oneill/profil/spieler/385918
Australia;399162;14;Cammy Devlin;Centrocampista;07/06/1998;27;Heart of Midlothian FC;1,70m;destro;4;-;25/09/2022;2,00 mln €;https://www.transfermarkt.com/cammy-devlin/profil/spieler/399162
Australia;691326;15;Kai Trewin;Mediano;18/05/2001;25;New York City FC;1,83m;destro;5;-;15/11/2025;1,80 mln €;https://www.transfermarkt.com/kai-trewin/profil/spieler/691326
Australia;136834;16;Aziz Behich;Terzino sinistro;16/12/1990;35;Melbourne City FC;1,70m;sinistro;83;3;14/11/2012;250 mila €;https://www.transfermarkt.com/aziz-behich/profil/spieler/136834
Australia;956920;17;Nestory Irankunda;Ala destra;09/02/2006;20;FC Watford;1,75m;destro;14;5;06/06/2024;8,00 mln €;https://www.transfermarkt.com/nestory-irankunda/profil/spieler/956920
Australia;983578;18;Patrick Beach;Portiere;06/08/2003;22;Melbourne City FC;1,89m;sinistro;2;-;15/11/2025;1,00 mln €;https://www.transfermarkt.com/patrick-beach/profil/spieler/983578
Australia;298091;19;Harry Souttar;Difensore centrale;22/10/1998;27;Leicester City;1,98m;destro;38;11;10/10/2019;3,50 mln €;https://www.transfermarkt.com/harry-souttar/profil/spieler/298091
Australia;746891;20;Cristian Volpato;Trequartista;15/11/2003;22;US Sassuolo;1,87m;sinistro;-;-;-;10,00 mln €;https://www.transfermarkt.com/cristian-volpato/profil/spieler/746891
Australia;255788;21;Cameron Burgess;Difensore centrale;21/10/1995;30;Swansea City;1,94m;sinistro;26;-;10/09/2023;1,50 mln €;https://www.transfermarkt.com/cameron-burgess/profil/spieler/255788
Australia;192557;22;Jackson Irvine;Centrocampista;07/03/1993;33;FC St. Pauli;1,89m;destro;81;14;15/10/2013;1,00 mln €;https://www.transfermarkt.com/jackson-irvine/profil/spieler/192557
Australia;888140;23;Nishan Velupillay;Ala sinistra;07/05/2001;25;Melbourne Victory;1,81m;destro;7;3;10/10/2024;650 mila €;https://www.transfermarkt.com/nishan-velupillay/profil/spieler/888140
Australia;1064377;24;Paul Okon-Engstler;Mediano;24/01/2005;21;Sydney FC;1,85m;sinistro;6;-;15/11/2025;1,20 mln €;https://www.transfermarkt.com/paul-okon-engstler/profil/spieler/1064377
Australia;1279984;25;Lucas Herrington;Difensore centrale;05/09/2007;18;Colorado Rapids;1,93m;destro;4;-;27/03/2026;4,50 mln €;https://www.transfermarkt.com/lucas-herrington/profil/spieler/1279984
Australia;849429;26;Tete Yengi;Punta centrale;28/11/2000;25;Machida Zelvia;1,97m;destro;-;-;-;450 mila €;https://www.transfermarkt.com/tete-yengi/profil/spieler/849429
Austria;186374;1;Alexander Schlager;Portiere;01/02/1996;30;Red Bull Salisburgo;1,88m;destro;26;-;16/11/2019;2,00 mln €;https://www.transfermarkt.com/alexander-schlager/profil/spieler/186374
Austria;452483;2;David Affengruber;Difensore centrale;19/03/2001;25;Elche CF;1,85m;destro;1;-;27/03/2026;20,00 mln €;https://www.transfermarkt.com/david-affengruber/profil/spieler/452483
Austria;263236;3;Kevin Danso;Difensore centrale;19/09/1998;27;Tottenham Hotspur;1,90m;destro;32;-;02/09/2017;20,00 mln €;https://www.transfermarkt.com/kevin-danso/profil/spieler/263236
Austria;223979;4;Xaver Schlager;Centrocampista;28/09/1997;28;RB Lipsia;1,74m;sinistro;51;4;23/03/2018;10,00 mln €;https://www.transfermarkt.com/xaver-schlager/profil/spieler/223979
Austria;223974;5;Stefan Posch;Difensore centrale;14/05/1997;29;1.FSV Magonza 05;1,88m;destro;52;5;10/06/2019;6,00 mln €;https://www.transfermarkt.com/stefan-posch/profil/spieler/223974
Austria;404950;6;Nicolas Seiwald;Mediano;04/05/2001;25;RB Lipsia;1,79m;destro;47;1;12/11/2021;25,00 mln €;https://www.transfermarkt.com/nicolas-seiwald/profil/spieler/404950
Austria;41384;7;Marko Arnautovic;Punta centrale;19/04/1989;37;Stella Rossa Belgrado;1,92m;entrambi;133;47;11/10/2008;2,00 mln €;https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384
Austria;59016;8;David Alaba;Difensore centrale;24/06/1992;33;Real Madrid;1,80m;sinistro;113;15;14/10/2009;3,00 mln €;https://www.transfermarkt.com/david-alaba/profil/spieler/59016
Austria;106987;9;Marcel Sabitzer;Centrocampista;17/03/1994;32;Borussia Dortmund;1,78m;destro;98;26;05/06/2012;6,00 mln €;https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987
Austria;195736;10;Florian Grillitsch;Mediano;07/08/1995;30;SC Braga;1,86m;destro;59;1;28/03/2017;2,50 mln €;https://www.transfermarkt.com/florian-grillitsch/profil/spieler/195736
Austria;120205;11;Michael Gregoritsch;Punta centrale;18/04/1994;32;FC Augusta;1,93m;sinistro;75;24;05/09/2016;1,50 mln €;https://www.transfermarkt.com/michael-gregoritsch/profil/spieler/120205
Austria;393999;12;Florian Wiegele;Portiere;21/03/2001;25;FC Viktoria Plzen;2,05m;sinistro;1;-;27/03/2026;2,20 mln €;https://www.transfermarkt.com/florian-wiegele/profil/spieler/393999
Austria;223972;13;Patrick Pentz;Portiere;02/01/1997;29;Bröndby IF;1,83m;sinistro;18;-;29/03/2022;2,20 mln €;https://www.transfermarkt.com/patrick-pentz/profil/spieler/223972
Austria;369567;14;Sasa Kalajdzic;Punta centrale;07/07/1997;28;LASK;2,00m;destro;22;4;14/10/2020;4,00 mln €;https://www.transfermarkt.com/sasa-kalajdzic/profil/spieler/369567
Austria;225657;15;Philipp Lienhart;Difensore centrale;11/07/1996;29;SC Friburgo;1,89m;destro;41;3;09/10/2017;10,00 mln €;https://www.transfermarkt.com/philipp-lienhart/profil/spieler/225657
Austria;127573;16;Phillipp Mwene;Terzino sinistro;29/01/1994;32;1.FSV Magonza 05;1,70m;destro;30;-;04/09/2021;1,50 mln €;https://www.transfermarkt.com/phillipp-mwene/profil/spieler/127573
Austria;659459;17;Carney Chukwuemeka;Centrocampista;20/10/2003;22;Borussia Dortmund;1,87m;destro;3;1;27/03/2026;20,00 mln €;https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459
Austria;346853;18;Romano Schmid;Trequartista;27/01/2000;26;SV Werder Brema;1,68m;destro;34;3;22/09/2022;15,00 mln €;https://www.transfermarkt.com/romano-schmid/profil/spieler/346853
Austria, #19 miss;;;;;;;;;;;;;;
Austria;223967;20;Konrad Laimer;Terzino destro;27/05/1997;29;FC Bayern Monaco;1,80m;destro;57;7;07/06/2019;32,00 mln €;https://www.transfermarkt.com/konrad-laimer/profil/spieler/223967
Austria;533295;21;Patrick Wimmer;Ala destra;30/05/2001;25;VfL Wolfsburg;1,82m;destro;30;1;13/06/2022;12,00 mln €;https://www.transfermarkt.com/patrick-wimmer/profil/spieler/533295
Austria;434116;22;Alexander Prass;Esterno di sinistra;26/05/2001;25;TSG 1899 Hoffenheim;1,80m;sinistro;19;-;16/11/2022;9,00 mln €;https://www.transfermarkt.com/alexander-prass/profil/spieler/434116
Austria;156990;23;Marco Friedl;Difensore centrale;16/03/1998;28;SV Werder Brema;1,87m;sinistro;11;-;07/10/2020;10,00 mln €;https://www.transfermarkt.com/marco-friedl/profil/spieler/156990
Austria;900909;24;Paul Wanner;Centrocampista;23/12/2005;20;PSV Eindhoven;1,85m;sinistro;3;-;27/03/2026;22,00 mln €;https://www.transfermarkt.com/paul-wanner/profil/spieler/900909
Austria;438961;25;Michael Svoboda;Difensore centrale;15/10/1998;27;Venezia FC;1,95m;destro;4;-;10/10/2024;3,50 mln €;https://www.transfermarkt.com/michael-svoboda/profil/spieler/438961
Austria;118397;26;Alessandro Schöpf;Centrocampista;07/02/1994;32;Wolfsberger AC;1,78m;destro;35;6;26/03/2016;800 mila €;https://www.transfermarkt.com/alessandro-schopf/profil/spieler/118397
Belgio;108390;1;Thibaut Courtois;Portiere;11/05/1992;34;Real Madrid;1,99m;sinistro;109;-;15/11/2011;15,00 mln €;https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390
Belgio;548193;2;Zeno Debast;Difensore centrale;24/10/2003;22;Sporting CP;1,91m;destro;26;1;22/09/2022;28,00 mln €;https://www.transfermarkt.com/zeno-debast/profil/spieler/548193
Belgio;368891;3;Arthur Theate;Difensore centrale;25/05/2000;26;Eintracht Francoforte;1,85m;sinistro;33;1;16/11/2021;17,00 mln €;https://www.transfermarkt.com/arthur-theate/profil/spieler/368891
Belgio;236168;4;Brandon Mechele;Difensore centrale;28/01/1993;33;Club Bruges;1,90m;destro;9;1;13/10/2019;2,80 mln €;https://www.transfermarkt.com/brandon-mechele/profil/spieler/236168
Belgio;429915;5;Maxim De Cuyper;Terzino sinistro;22/12/2000;25;Brighton & Hove Albion;1,82m;sinistro;19;4;05/06/2024;22,00 mln €;https://www.transfermarkt.com/maxim-de-cuyper/profil/spieler/429915
