team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Uzbekistan;288883;5;Rustam Ashurmatov;Difensore centrale;07/07/1996;29;Esteghlal FC;1,86m;destro;50;1;23/01/2017;750 mila €;https://www.transfermarkt.com/rustam-ashurmatov/profil/spieler/288883
Uzbekistan;562022;6;Akmal Mozgovoy;Centrocampista;02/04/1999;27;Pakhtakor Tashkent;1,80m;destro;24;1;03/09/2020;1,40 mln €;https://www.transfermarkt.com/akmal-mozgovoy/profil/spieler/562022
Uzbekistan;294525;7;Otabek Shukurov;Centrocampista;22/06/1996;29;FC Baniyas;1,83m;destro;88;9;14/02/2016;1,50 mln €;https://www.transfermarkt.com/otabek-shukurov/profil/spieler/294525
Uzbekistan;260857;8;Jamshid Iskanderov;Trequartista;16/10/1993;32;Neftchi Fergana;1,71m;sinistro;44;4;06/09/2013;1,00 mln €;https://www.transfermarkt.com/jamshid-iskanderov/profil/spieler/260857
Uzbekistan;288915;9;Odildzhon Khamrobekov;Mediano;13/02/1996;30;Tractor FC;1,80m;destro;74;1;14/11/2017;1,00 mln €;https://www.transfermarkt.com/odildzhon-khamrobekov/profil/spieler/288915
Uzbekistan;274536;10;Jaloliddin Masharipov;Ala sinistra;01/09/1993;32;Esteghlal FC;1,74m;destro;74;13;24/07/2016;1,00 mln €;https://www.transfermarkt.com/jaloliddin-masharipov/profil/spieler/274536
Uzbekistan;492556;11;Oston Urunov;Ala sinistra;19/12/2000;25;Persepolis FC;1,81m;destro;42;10;02/06/2019;2,00 mln €;https://www.transfermarkt.com/oston-urunov/profil/spieler/492556
Uzbekistan;527866;12;Abduvokhid Nematov;Portiere;20/03/2001;25;Nasaf Qarshi;1,82m;destro;14;-;03/09/2020;1,50 mln €;https://www.transfermarkt.com/abduvokhid-nematov/profil/spieler/527866
Uzbekistan;608537;13;Sherzod Nasrullaev;Terzino sinistro;23/07/1998;27;Pakhtakor Tashkent;1,83m;sinistro;38;2;27/01/2022;1,20 mln €;https://www.transfermarkt.com/sherzod-nasrullaev/profil/spieler/608537
Uzbekistan;358166;14;Eldor Shomurodov;Punta centrale;29/06/1995;30;Basaksehir FK;1,90m;destro;91;44;03/09/2015;7,00 mln €;https://www.transfermarkt.com/eldor-shomurodov/profil/spieler/358166
Uzbekistan;493725;15;Umar Eshmurodov;Difensore centrale;30/11/1992;33;Nasaf Qarshi;1,85m;destro;39;-;23/02/2020;450 mila €;https://www.transfermarkt.com/umar-eshmurodov/profil/spieler/493725
Uzbekistan;312690;16;Botirali Ergashev;Portiere;23/06/1995;30;Neftchi Fergana;1,89m;destro;4;-;19/05/2018;500 mila €;https://www.transfermarkt.com/botirali-ergashev/profil/spieler/312690
Uzbekistan;294502;17;Dostonbek Khamdamov;Ala destra;24/07/1996;29;Pakhtakor Tashkent;1,78m;entrambi;36;5;07/06/2016;900 mila €;https://www.transfermarkt.com/dostonbek-khamdamov/profil/spieler/294502
