formation_id;team_name;round;registered_at;players_count;line_order;line_text
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;4;TITOLARI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;5;PORTIERI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;6;P1. Unai Simón - Spagna
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;7;DIFENSORI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;8;D1. Theo Hernández - Francia
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;9;D2. Antonio Rüdiger - Germania
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;10;D3. Manuel Akanji - Svizzera
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;11;CENTROCAMPISTI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;12;C1. Jude Bellingham - Inghilterra
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;13;C2. Jamal Musiala - Germania
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;14;C3. Granit Xhaka - Svizzera
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;15;C4. Kevin De Bruyne - Belgio
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;16;ATTACCANTI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;17;A1. Kylian Mbappé - Francia
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;18;A2. Lamine Yamal - Spagna
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;19;A3. Lautaro Martínez - Argentina
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;20;RISERVE
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;21;PORTIERI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;22;P2. Bart Verbruggen - Paesi Bassi
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;23;P3. Yassine Bounou - Marocco
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;24;DIFENSORI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;25;D4. Pau Cubarsí - Spagna
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;26;D5. Antonee Robinson - Stati Uniti
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;27;D6. Johan Vásquez - Messico
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;28;D7. Alistair Johnston - Canada
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;29;D8. César Montes - Messico
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;30;CENTROCAMPISTI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;31;C5. Federico Valverde - Uruguay
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;32;C6. Daichi Kamada - Giappone
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;33;C7. Lamine Camara - Senegal
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;34;C8. Kendry Páez - Ecuador
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;35;ATTACCANTI
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;36;A4. Nico Williams - Spagna
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;37;A5. Santiago Giménez - Messico
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;38;A6. Dan Ndoye - Svizzera
mq3m0cn6;Notts Balby;Prima giornata;2026-06-07T09:58:37.314Z;0;39;A7. Kenan Yildiz - Turchia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;1;FORMAZIONE — Setumanizzato
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;2;Turno: Prima giornata
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;3;Modulo: 3-4-3
