team_id;team_name;role;player_order;player_name;nationality
mq2xvvof;Paris Bidet FC;DIF;3;William Saliba;Francia
mq2xvvof;Paris Bidet FC;DIF;4;Nahuel Molina;Argentina
mq2xvvof;Paris Bidet FC;DIF;5;Nuno Mendes;Portogallo
mq2xvvof;Paris Bidet FC;DIF;6;Hiroki Ito;Giappone
mq2xvvof;Paris Bidet FC;DIF;7;Marquinhos;Brasile
mq2xvvof;Paris Bidet FC;DIF;8;Douglas Santos;Brasile
mq2xvvof;Paris Bidet FC;CEN;1;Scott McTominay;Scozia
mq2xvvof;Paris Bidet FC;CEN;2;Hakan Çalhanoglu;Turchia
mq2xvvof;Paris Bidet FC;CEN;3;Florian Wirtz;Germania
mq2xvvof;Paris Bidet FC;CEN;4;Bruno Fernandes;Portogallo
mq2xvvof;Paris Bidet FC;CEN;5;Fabián Ruiz;Spagna
mq2xvvof;Paris Bidet FC;CEN;6;Aurélien Tchouaméni;Francia
mq2xvvof;Paris Bidet FC;CEN;7;Martin Ødegaard;Norvegia
mq2xvvof;Paris Bidet FC;CEN;8;Daichi Kamada;Giappone
mq2xvvof;Paris Bidet FC;ATT;1;Michael Olise;Francia
mq2xvvof;Paris Bidet FC;ATT;2;Kenan Yildiz;Turchia
mq2xvvof;Paris Bidet FC;ATT;3;Mikel Oyarzabal;Spagna
mq2xvvof;Paris Bidet FC;ATT;4;Harry Kane;Inghilterra
mq2xvvof;Paris Bidet FC;ATT;5;Kai Havertz;Germania
mq2xvvof;Paris Bidet FC;ATT;6;Vinícius Júnior;Brasile
mq2xvvof;Paris Bidet FC;ATT;7;Lautaro Martínez;Argentina
mq3jmp2x;Setumanizzato;POR;1;Emiliano Martínez;Argentina
mq3jmp2x;Setumanizzato;POR;2;Ørjan Håskjold Nyland;Norvegia
mq3jmp2x;Setumanizzato;POR;3;Unai Simón;Spagna
mq3jmp2x;Setumanizzato;DIF;1;Nicolás Tagliafico;Argentina
mq3jmp2x;Setumanizzato;DIF;2;Douglas Santos;Brasile
mq3jmp2x;Setumanizzato;DIF;3;Denzel Dumfries;Paesi Bassi
mq3jmp2x;Setumanizzato;DIF;4;Nahuel Molina;Argentina
mq3jmp2x;Setumanizzato;DIF;5;Johan Mojica;Colombia
mq3jmp2x;Setumanizzato;DIF;6;Marquinhos;Brasile
mq3jmp2x;Setumanizzato;DIF;7;Kristoffer Ajer;Norvegia
mq3jmp2x;Setumanizzato;DIF;8;Virgil van Dijk;Paesi Bassi
mq3jmp2x;Setumanizzato;CEN;1;Rodrigo De Paul;Argentina
mq3jmp2x;Setumanizzato;CEN;2;Pedri;Spagna
mq3jmp2x;Setumanizzato;CEN;3;Jamal Musiala;Germania
mq3jmp2x;Setumanizzato;CEN;4;Alexis Mac Allister;Argentina
mq3jmp2x;Setumanizzato;CEN;5;Leon Goretzka;Germania
mq3jmp2x;Setumanizzato;CEN;6;Martin Ødegaard;Norvegia
mq3jmp2x;Setumanizzato;CEN;7;Tijjani Reijnders;Paesi Bassi
mq3jmp2x;Setumanizzato;CEN;8;Enzo Fernández;Argentina
mq3jmp2x;Setumanizzato;ATT;1;Matheus Cunha;Brasile
mq3jmp2x;Setumanizzato;ATT;2;Erling Haaland;Norvegia
mq3jmp2x;Setumanizzato;ATT;3;Kylian Mbappé;Francia
mq3jmp2x;Setumanizzato;ATT;4;Lamine Yamal;Spagna
mq3jmp2x;Setumanizzato;ATT;5;Harry Kane;Inghilterra
mq3jmp2x;Setumanizzato;ATT;6;Michael Olise;Francia
